date,SM,P_cm,PET_cm,LST,LAI,Sand,Silt,Clay,BD
2006/1/25,0.006020833,4.35E-05,0.7975,1,0.6,0.665,0.228,0.107,1.48
2006/1/26,0.006266667,0,0.8090625,1,0.575,0.665,0.228,0.107,1.48
2006/1/27,0.007383333,0.004165769,0.820625,1,0.55,0.665,0.228,0.107,1.48
2006/1/28,0.008279167,0.018874963,0.8321875,1,0.525,0.665,0.228,0.107,1.48
2006/1/29,0.007816667,0.000352263,0.84375,1,0.5,0.665,0.228,0.107,1.48
2006/1/30,0.007216667,0.000172853,0.8553125,1,0.525,0.665,0.228,0.107,1.48
2006/1/31,0.006670833,8.52E-05,0.866875,1,0.55,0.665,0.228,0.107,1.48
2006/2/1,0.005983333,0.000170423,0.8784375,1,0.575,0.665,0.228,0.107,1.48
2006/2/2,0.005491667,8.65E-05,0.89,1,0.6,0.665,0.228,0.107,1.48
2006/2/3,0.005204167,0.000215204,0.86265625,1,0.6,0.665,0.228,0.107,1.48
2006/2/4,0.005058333,8.46E-05,0.8353125,1,0.6,0.665,0.228,0.107,1.48
2006/2/5,0.005554167,0.000129044,0.80796875,1,0.6,0.665,0.228,0.107,1.48
2006/2/6,0.005883333,8.52E-05,0.780625,1,0.6,0.665,0.228,0.107,1.48
2006/2/7,0.005833333,4.35E-05,0.75328125,1,0.6,0.665,0.228,0.107,1.48
2006/2/8,0.005458333,4.35E-05,0.7259375,1,0.6,0.665,0.228,0.107,1.48
2006/2/9,0.005116667,0.000213525,0.69859375,1,0.6,0.665,0.228,0.107,1.48
2006/2/10,0.005141667,0.000402787,0.67125,1,0.6,0.665,0.228,0.107,1.48
2006/2/11,0.005533333,8.58E-05,0.68765625,1,0.6,0.665,0.228,0.107,1.48
2006/2/12,0.005654167,4.35E-05,0.7040625,1,0.6,0.665,0.228,0.107,1.48
2006/2/13,0.006320833,0.000129044,0.72046875,1,0.6,0.665,0.228,0.107,1.48
2006/2/14,0.0137625,0.000312924,0.736875,1,0.6,0.665,0.228,0.107,1.48
2006/2/15,0.131191667,0.205883993,0.75328125,1,0.625,0.665,0.228,0.107,1.48
2006/2/16,0.104866667,0.000392168,0.7696875,1,0.65,0.665,0.228,0.107,1.48
2006/2/17,0.0848125,0.008989781,0.78609375,1,0.675,0.665,0.228,0.107,1.48
2006/2/18,0.071595833,0,0.8025,1,0.7,0.665,0.228,0.107,1.48
2006/2/19,0.063079167,0.000171363,0.78890625,1,0.725,0.665,0.228,0.107,1.48
2006/2/20,0.0572625,4.35E-05,0.7753125,1,0.75,0.665,0.228,0.107,1.48
2006/2/21,0.053016667,4.35E-05,0.76171875,1,0.775,0.665,0.228,0.107,1.48
2006/2/22,0.048875,0.003473066,0.748125,1,0.8,0.665,0.228,0.107,1.48
2006/2/23,0.0455,0,0.73453125,1,0.775,0.665,0.228,0.107,1.48
2006/2/24,0.0411125,0,0.7209375,1,0.75,0.665,0.228,0.107,1.48
2006/2/25,0.036270833,0.000216292,0.70734375,1,0.725,0.665,0.228,0.107,1.48
2006/2/26,0.031783333,4.18E-05,0.69375,1,0.7,0.665,0.228,0.107,1.48
2006/2/27,0.027929167,0.000386238,0.67609375,1,0.725,0.665,0.228,0.107,1.48
2006/2/28,0.025054167,0.000294543,0.6584375,1,0.75,0.665,0.228,0.107,1.48
2006/3/1,0.022304167,0,0.64078125,1,0.775,0.665,0.228,0.107,1.48
2006/3/2,0.0197875,0.000142455,0.623125,1,0.8,0.665,0.228,0.107,1.48
2006/3/3,0.017279167,0.000170892,0.60546875,1,0.775,0.665,0.228,0.107,1.48
2006/3/4,0.015283333,0,0.5878125,1,0.75,0.665,0.228,0.107,1.48
2006/3/5,0.013566667,0.000130726,0.57015625,1,0.725,0.665,0.228,0.107,1.48
2006/3/6,0.0124125,0.000582612,0.5525,1,0.7,0.665,0.228,0.107,1.48
2006/3/7,0.011741667,0.00372529,0.56453125,1,0.65,0.665,0.228,0.107,1.48
2006/3/8,0.0109875,0.000193715,0.5765625,1,0.6,0.665,0.228,0.107,1.48
2006/3/9,0.0107375,0.005291402,0.58859375,1,0.55,0.665,0.228,0.107,1.48
2006/3/10,0.009495833,0.028146803,0.600625,1,0.5,0.665,0.228,0.107,1.48
2006/3/11,0.008666667,8.46E-05,0.61265625,1,0.575,0.665,0.228,0.107,1.48
2006/3/12,0.008008333,8.58E-05,0.6246875,1,0.65,0.665,0.228,0.107,1.48
2006/3/13,0.007870833,0.000171212,0.63671875,1,0.725,0.665,0.228,0.107,1.48
2006/3/14,0.0079875,0.000573993,0.64875,1,0.8,0.665,0.228,0.107,1.48
2006/3/15,0.0080375,0.001003109,0.64578125,1,0.75,0.665,0.228,0.107,1.48
2006/3/16,0.007583333,0.000171363,0.6428125,1,0.7,0.665,0.228,0.107,1.48
2006/3/17,0.007120833,0.000225306,0.63984375,1,0.65,0.665,0.228,0.107,1.48
2006/3/18,0.006729167,8.57E-05,0.636875,1,0.6,0.665,0.228,0.107,1.48
2006/3/19,0.007133333,0.044455655,0.63390625,1,0.65,0.665,0.228,0.107,1.48
2006/3/20,0.007266667,0.121194124,0.6309375,1,0.7,0.665,0.228,0.107,1.48
2006/3/21,0.007316667,4.35E-05,0.62796875,1,0.75,0.665,0.228,0.107,1.48
2006/3/22,0.0077875,0.06762574,0.625,1,0.8,0.665,0.228,0.107,1.48
2006/3/23,0.007779167,0.001910297,0.61578125,1,0.775,0.665,0.228,0.107,1.48
2006/3/24,0.007216667,8.72E-05,0.6065625,1,0.75,0.665,0.228,0.107,1.48
2006/3/25,0.0066875,0.000374463,0.59734375,1,0.725,0.665,0.228,0.107,1.48
2006/3/26,0.006604167,0.021869614,0.588125,1,0.7,0.665,0.228,0.107,1.48
2006/3/27,0.006454167,0.001838207,0.57890625,1,0.725,0.665,0.228,0.107,1.48
2006/3/28,0.006504167,0.006802678,0.5696875,1,0.75,0.665,0.228,0.107,1.48
2006/3/29,0.0063625,0.00059247,0.56046875,1,0.775,0.665,0.228,0.107,1.48
2006/3/30,0.005920833,0.000171661,0.55125,1,0.8,0.665,0.228,0.107,1.48
2006/3/31,0.005291667,0.000154376,0.5853125,1,0.75,0.665,0.228,0.107,1.48
2006/4/1,0.005033333,0.000257262,0.619375,1,0.7,0.665,0.228,0.107,1.48
2006/4/2,0.005129167,0.013240576,0.6534375,1,0.65,0.665,0.228,0.107,1.48
2006/4/3,0.0057625,0.00014782,0.6875,1,0.6,0.665,0.228,0.107,1.48
2006/4/4,0.0061,0.010894245,0.7215625,1,0.65,0.665,0.228,0.107,1.48
2006/4/5,0.005945833,0.047169626,0.755625,1,0.7,0.665,0.228,0.107,1.48
2006/4/6,0.005879167,8.52E-05,0.7896875,1,0.75,0.665,0.228,0.107,1.48
2006/4/7,0.006045833,4.41E-05,0.82375,1,0.8,0.665,0.228,0.107,1.48
2006/4/8,0.005629167,0.000171724,0.79890625,1,0.75,0.665,0.228,0.107,1.48
2006/4/9,0.0052,8.52E-05,0.7740625,1,0.7,0.665,0.228,0.107,1.48
2006/4/10,0.0050125,8.52E-05,0.74921875,1,0.65,0.665,0.228,0.107,1.48
2006/4/11,0.0049875,0.000345597,0.724375,1,0.6,0.665,0.228,0.107,1.48
2006/4/12,0.0047375,8.75E-05,0.69953125,1,0.65,0.665,0.228,0.107,1.48
2006/4/13,0.004954167,2.53E-05,0.6746875,1,0.7,0.665,0.228,0.107,1.48
2006/4/14,0.005233333,0.001393557,0.64984375,1,0.75,0.665,0.228,0.107,1.48
2006/4/15,0.005333333,0.001095533,0.625,1,0.8,0.665,0.228,0.107,1.48
2006/4/16,0.0054,0.0090675,0.6240625,1,0.8,0.665,0.228,0.107,1.48
2006/4/17,0.005245833,8.58E-05,0.623125,1,0.8,0.665,0.228,0.107,1.48
2006/4/18,0.005329167,0.000129397,0.6221875,1,0.8,0.665,0.228,0.107,1.48
2006/4/19,0.020425,0.237758458,0.62125,1,0.8,0.665,0.228,0.107,1.48
2006/4/20,0.121916667,0.120824575,0.6203125,1,0.8,0.665,0.228,0.107,1.48
2006/4/21,0.087020833,0.030447841,0.619375,1,0.8,0.665,0.228,0.107,1.48
2006/4/22,0.066916667,0.338362753,0.6184375,1,0.8,0.665,0.228,0.107,1.48
2006/4/23,0.055475,0.628908873,0.6175,1,0.8,0.665,0.228,0.107,1.48
2006/4/24,0.0477,0.414084196,0.60859375,1,0.75,0.665,0.228,0.107,1.48
2006/4/25,0.0444875,0.783302784,0.5996875,1,0.7,0.665,0.228,0.107,1.48
2006/4/26,0.039408333,0.439041084,0.59078125,1,0.65,0.665,0.228,0.107,1.48
2006/4/27,0.031441667,0.290568644,0.581875,1,0.6,0.665,0.228,0.107,1.48
2006/4/28,0.025295833,0.02465504,0.57296875,1,0.65,0.665,0.228,0.107,1.48
2006/4/29,0.021183333,0.266486406,0.5640625,1,0.7,0.665,0.228,0.107,1.48
2006/4/30,0.042720833,0.09611845,0.55515625,1,0.75,0.665,0.228,0.107,1.48
2006/5/1,0.070341667,0.026829839,0.54625,1,0.8,0.665,0.228,0.107,1.48
2006/5/2,0.048579167,0.188723207,0.53640625,1,0.775,0.665,0.228,0.107,1.48
2006/5/3,0.036241667,0.025141239,0.5265625,1,0.75,0.665,0.228,0.107,1.48
2006/5/4,0.026391667,0.888218796,0.51671875,1,0.725,0.665,0.228,0.107,1.48
2006/5/5,0.100733333,0.755420029,0.506875,1,0.7,0.665,0.228,0.107,1.48
2006/5/6,0.0755875,0.263538957,0.49703125,1,0.65,0.665,0.228,0.107,1.48
2006/5/7,0.075766667,0.974335074,0.4871875,1,0.6,0.665,0.228,0.107,1.48
2006/5/8,0.0668875,1.203036308,0.47734375,1,0.55,0.665,0.228,0.107,1.48
2006/5/9,0.053504167,0.375375132,0.4675,1,0.5,0.665,0.228,0.107,1.48
2006/5/10,0.05695,0.98003954,0.4678125,1,0.475,0.665,0.228,0.107,1.48
2006/5/11,0.045504167,0.024360418,0.468125,1,0.45,0.665,0.228,0.107,1.48
2006/5/12,0.0377125,0.673722029,0.4684375,1,0.425,0.665,0.228,0.107,1.48
2006/5/13,0.029366667,0.092413723,0.46875,1,0.4,0.665,0.228,0.107,1.48
2006/5/14,0.024054167,0.40332526,0.4690625,1,0.35,0.665,0.228,0.107,1.48
2006/5/15,0.061154167,0.945107639,0.469375,1,0.3,0.665,0.228,0.107,1.48
2006/5/16,0.0455625,0.983013263,0.4696875,1,0.25,0.665,0.228,0.107,1.48
2006/5/17,0.03725,0.313922763,0.47,1,0.2,0.665,0.228,0.107,1.48
2006/5/18,0.079591667,0.56052804,0.47359375,1,0.35,0.665,0.228,0.107,1.48
2006/5/19,0.082404167,1.188131571,0.4771875,1,0.5,0.665,0.228,0.107,1.48
2006/5/20,0.138020833,1.855163276,0.48078125,1,0.65,0.665,0.228,0.107,1.48
2006/5/21,0.139816667,1.167910695,0.484375,1,0.8,0.665,0.228,0.107,1.48
2006/5/22,0.1108,1.055685011,0.48796875,1,0.9,0.665,0.228,0.107,1.48
2006/5/23,0.086883333,1.346997321,0.4915625,1,1,0.665,0.228,0.107,1.48
2006/5/24,0.0727375,0.061310099,0.49515625,1,1.1,0.665,0.228,0.107,1.48
2006/5/25,0.0995,0.267860293,0.49875,1,1.2,0.665,0.228,0.107,1.48
2006/5/26,0.134866667,0.160571583,0.499375,1,1.3,0.665,0.228,0.107,1.48
2006/5/27,0.110933333,1.143225431,0.5,1,1.4,0.665,0.228,0.107,1.48
2006/5/28,0.085979167,1.287017763,0.500625,1,1.5,0.665,0.228,0.107,1.48
2006/5/29,0.0687375,0.27674973,0.50125,1,1.6,0.665,0.228,0.107,1.48
2006/5/30,0.056654167,1.451698094,0.501875,1,1.3,0.665,0.228,0.107,1.48
2006/5/31,0.049170833,0.005533099,0.5025,1,1,0.665,0.228,0.107,1.48
2006/6/1,0.043754167,0.02247721,0.503125,1,0.7,0.665,0.228,0.107,1.48
2006/6/2,0.042,0.228753686,0.50375,1,0.4,0.665,0.228,0.107,1.48
2006/6/3,0.046,0.080137551,0.49875,1,0.5,0.665,0.228,0.107,1.48
2006/6/4,0.03895,0.299590826,0.49375,1,0.6,0.665,0.228,0.107,1.48
2006/6/5,0.034341667,0.225760341,0.48875,1,0.7,0.665,0.228,0.107,1.48
2006/6/6,0.031683333,0.017120242,0.48375,1,0.8,0.665,0.228,0.107,1.48
2006/6/7,0.028441667,0.871755481,0.47875,1,0.9,0.665,0.228,0.107,1.48
2006/6/8,0.026483333,1.694052219,0.47375,1,1,0.665,0.228,0.107,1.48
2006/6/9,0.068916667,0.118085742,0.46875,1,1.1,0.665,0.228,0.107,1.48
2006/6/10,0.10585,0.634716451,0.46375,1,1.2,0.665,0.228,0.107,1.48
2006/6/11,0.077695833,1.655909318,0.46890625,1,1.275,0.665,0.228,0.107,1.48
2006/6/12,0.060841667,0.033566356,0.4740625,1,1.35,0.665,0.228,0.107,1.48
2006/6/13,0.048033333,0.443732738,0.47921875,1,1.425,0.665,0.228,0.107,1.48
2006/6/14,0.112958333,0.510618934,0.484375,1,1.5,0.665,0.228,0.107,1.48
2006/6/15,0.128404167,0.616647303,0.48953125,1,1.475,0.665,0.228,0.107,1.48
2006/6/16,0.101766667,0.045272708,0.4946875,1,1.45,0.665,0.228,0.107,1.48
2006/6/17,0.077866667,0.374116302,0.49984375,1,1.425,0.665,0.228,0.107,1.48
2006/6/18,0.119679167,1.347090602,0.505,1,1.4,0.665,0.228,0.107,1.48
2006/6/19,0.128808333,0.819172856,0.51796875,1,1.375,0.665,0.228,0.107,1.48
2006/6/20,0.1038625,0.37844032,0.5309375,1,1.35,0.665,0.228,0.107,1.48
2006/6/21,0.0834875,0.792797506,0.54390625,1,1.325,0.665,0.228,0.107,1.48
2006/6/22,0.124720833,0.521420538,0.556875,1,1.3,0.665,0.228,0.107,1.48
2006/6/23,0.154191667,0.393477009,0.56984375,1,1.35,0.665,0.228,0.107,1.48
2006/6/24,0.136941667,0.715740323,0.5828125,1,1.4,0.665,0.228,0.107,1.48
2006/6/25,0.1139125,0.434217521,0.59578125,1,1.45,0.665,0.228,0.107,1.48
2006/6/26,0.107379167,0.326349438,0.60875,1,1.5,0.665,0.228,0.107,1.48
2006/6/27,0.1381875,0.070291758,0.59765625,1,1.275,0.665,0.228,0.107,1.48
2006/6/28,0.1137125,0.123246014,0.5865625,1,1.05,0.665,0.228,0.107,1.48
2006/6/29,0.144358333,0.080372691,0.57546875,1,0.825,0.665,0.228,0.107,1.48
2006/6/30,0.126883333,0.881399214,0.564375,1,0.6,0.665,0.228,0.107,1.48
2006/7/1,0.1081625,0.600249171,0.55328125,1,0.775,0.665,0.228,0.107,1.48
2006/7/2,0.089083333,0.591096282,0.5421875,1,0.95,0.665,0.228,0.107,1.48
2006/7/3,0.140995833,0.704775171,0.53109375,1,1.125,0.665,0.228,0.107,1.48
2006/7/4,0.138075,0.461450202,0.52,1,1.3,0.665,0.228,0.107,1.48
2006/7/5,0.116316667,1.070863008,0.5084375,1,1.125,0.665,0.228,0.107,1.48
2006/7/6,0.104491667,0.696027279,0.496875,1,0.95,0.665,0.228,0.107,1.48
2006/7/7,0.0923,0.062508881,0.4853125,1,0.775,0.665,0.228,0.107,1.48
2006/7/8,0.079325,0.022357597,0.47375,1,0.6,0.665,0.228,0.107,1.48
2006/7/9,0.071275,0.278941967,0.4621875,1,0.725,0.665,0.228,0.107,1.48
2006/7/10,0.067220833,0.68936944,0.450625,1,0.85,0.665,0.228,0.107,1.48
2006/7/11,0.060158333,0.274603412,0.4390625,1,0.975,0.665,0.228,0.107,1.48
2006/7/12,0.054783333,0.370818377,0.4275,1,1.1,0.665,0.228,0.107,1.48
2006/7/13,0.050916667,0.685704174,0.435625,1,1.35,0.665,0.228,0.107,1.48
2006/7/14,0.050491667,1.754834652,0.44375,1,1.6,0.665,0.228,0.107,1.48
2006/7/15,0.142483333,0.612846911,0.451875,1,1.85,0.665,0.228,0.107,1.48
2006/7/16,0.133458333,0.050786138,0.46,1,2.1,0.665,0.228,0.107,1.48
2006/7/17,0.148458333,0.522664785,0.468125,1,1.95,0.665,0.228,0.107,1.48
2006/7/18,0.1396375,0.744591713,0.47625,1,1.8,0.665,0.228,0.107,1.48
2006/7/19,0.151991667,1.289670169,0.484375,1,1.65,0.665,0.228,0.107,1.48
2006/7/20,0.168808333,1.096375585,0.4925,1,1.5,0.665,0.228,0.107,1.48
2006/7/21,0.1512875,0.200276971,0.48078125,1,1.6,0.665,0.228,0.107,1.48
2006/7/22,0.173229167,0.361360908,0.4690625,1,1.7,0.665,0.228,0.107,1.48
2006/7/23,0.147008333,1.170208666,0.45734375,1,1.8,0.665,0.228,0.107,1.48
2006/7/24,0.129495833,0.671282411,0.445625,1,1.9,0.665,0.228,0.107,1.48
2006/7/25,0.148558333,1.207589507,0.43390625,1,1.675,0.665,0.228,0.107,1.48
2006/7/26,0.15165,0.129148364,0.4221875,1,1.45,0.665,0.228,0.107,1.48
2006/7/27,0.130308333,0.354910493,0.41046875,1,1.225,0.665,0.228,0.107,1.48
2006/7/28,0.1562625,0.183232129,0.39875,1,1,0.665,0.228,0.107,1.48
2006/7/29,0.139333333,1.529568434,0.40625,1,0.8,0.665,0.228,0.107,1.48
2006/7/30,0.138516667,0.890498666,0.41375,1,0.6,0.665,0.228,0.107,1.48
2006/7/31,0.161075,1.142500358,0.42125,1,0.4,0.665,0.228,0.107,1.48
2006/8/1,0.143375,0.581660271,0.42875,1,0.2,0.665,0.228,0.107,1.48
2006/8/2,0.164116667,0.491132834,0.43625,1,0.175,0.665,0.228,0.107,1.48
2006/8/3,0.140908333,1.402469099,0.44375,1,0.15,0.665,0.228,0.107,1.48
2006/8/4,0.141366667,1.823105423,0.45125,1,0.125,0.665,0.228,0.107,1.48
2006/8/5,0.146820833,0.899780691,0.45875,1,0.1,0.665,0.228,0.107,1.48
2006/8/6,0.130358333,1.071381569,0.4559375,1,0.15,0.665,0.228,0.107,1.48
2006/8/7,0.120654167,2.123715698,0.453125,1,0.2,0.665,0.228,0.107,1.48
2006/8/8,0.117966667,0.536385244,0.4503125,1,0.25,0.665,0.228,0.107,1.48
2006/8/9,0.104120833,0.121109503,0.4475,1,0.3,0.665,0.228,0.107,1.48
2006/8/10,0.10435,3.535852055,0.4446875,1,0.8,0.665,0.228,0.107,1.48
2006/8/11,0.16875,4.034436345,0.441875,1,1.3,0.665,0.228,0.107,1.48
2006/8/12,0.175354167,1.150774956,0.4390625,1,1.8,0.665,0.228,0.107,1.48
2006/8/13,0.1695,0.633424819,0.43625,1,2.3,0.665,0.228,0.107,1.48
2006/8/14,0.166258333,0.317593515,0.4421875,1,2.475,0.665,0.228,0.107,1.48
2006/8/15,0.183291667,1.412660778,0.448125,1,2.65,0.665,0.228,0.107,1.48
2006/8/16,0.179629167,3.227819141,0.4540625,1,2.825,0.665,0.228,0.107,1.48
2006/8/17,0.18565,1.01750493,0.46,1,3,0.665,0.228,0.107,1.48
2006/8/18,0.175066667,0.691987872,0.4659375,1,2.6,0.665,0.228,0.107,1.48
2006/8/19,0.1533125,2.318856716,0.471875,1,2.2,0.665,0.228,0.107,1.48
2006/8/20,0.140779167,0.188418627,0.4778125,1,1.8,0.665,0.228,0.107,1.48
2006/8/21,0.126875,0.329035521,0.48375,1,1.4,0.665,0.228,0.107,1.48
2006/8/22,0.11245,0.543491542,0.47609375,1,1.25,0.665,0.228,0.107,1.48
2006/8/23,0.126983333,1.739218831,0.4684375,1,1.1,0.665,0.228,0.107,1.48
2006/8/24,0.144658333,0.669509172,0.46078125,1,0.95,0.665,0.228,0.107,1.48
2006/8/25,0.13165,0.039801002,0.453125,1,0.8,0.665,0.228,0.107,1.48
2006/8/26,0.140654167,0.688643455,0.44546875,1,0.875,0.665,0.228,0.107,1.48
2006/8/27,0.175341667,2.794498503,0.4378125,1,0.95,0.665,0.228,0.107,1.48
2006/8/28,0.169808333,0.379310846,0.43015625,1,1.025,0.665,0.228,0.107,1.48
2006/8/29,0.147658333,1.106154919,0.4225,1,1.1,0.665,0.228,0.107,1.48
2006/8/30,0.159870833,0.735925436,0.42,1,1.15,0.665,0.228,0.107,1.48
2006/8/31,0.188333333,2.165110111,0.4175,1,1.2,0.665,0.228,0.107,1.48
2006/9/1,0.1747875,0.779389293,0.415,1,1.25,0.665,0.228,0.107,1.48
2006/9/2,0.1507875,0.04924952,0.4125,1,1.3,0.665,0.228,0.107,1.48
2006/9/3,0.171966667,0.527755799,0.41,1,1.125,0.665,0.228,0.107,1.48
2006/9/4,0.166470833,0.129074752,0.4075,1,0.95,0.665,0.228,0.107,1.48
2006/9/5,0.153345833,0.692182039,0.405,1,0.775,0.665,0.228,0.107,1.48
2006/9/6,0.148208333,0.642015338,0.4025,1,0.6,0.665,0.228,0.107,1.48
2006/9/7,0.12945,0.628931224,0.40828125,1,0.775,0.665,0.228,0.107,1.48
2006/9/8,0.142333333,0.723011196,0.4140625,1,0.95,0.665,0.228,0.107,1.48
2006/9/9,0.189554167,1.819821,0.41984375,1,1.125,0.665,0.228,0.107,1.48
2006/9/10,0.1766875,0.525786281,0.425625,1,1.3,0.665,0.228,0.107,1.48
2006/9/11,0.159341667,0.331634581,0.43140625,1,1.65,0.665,0.228,0.107,1.48
2006/9/12,0.1987375,2.857066989,0.4371875,1,2,0.665,0.228,0.107,1.48
2006/9/13,0.182175,1.175602078,0.44296875,1,2.35,0.665,0.228,0.107,1.48
2006/9/14,0.16,0.114097743,0.44875,1,2.7,0.665,0.228,0.107,1.48
2006/9/15,0.1756375,0.988385344,0.44796875,1,2.375,0.665,0.228,0.107,1.48
2006/9/16,0.17155,0.762853026,0.4471875,1,2.05,0.665,0.228,0.107,1.48
2006/9/17,0.172641667,0.325699151,0.44640625,1,1.725,0.665,0.228,0.107,1.48
2006/9/18,0.162979167,0.355528593,0.445625,1,1.4,0.665,0.228,0.107,1.48
2006/9/19,0.147875,1.086616516,0.44484375,1,1.675,0.665,0.228,0.107,1.48
2006/9/20,0.1490125,0.031760931,0.4440625,1,1.95,0.665,0.228,0.107,1.48
2006/9/21,0.131725,1.632546895,0.44328125,1,2.225,0.665,0.228,0.107,1.48
2006/9/22,0.153091667,2.415113747,0.4425,1,2.5,0.665,0.228,0.107,1.48
2006/9/23,0.189116667,0.508619249,0.4578125,1,2.25,0.665,0.228,0.107,1.48
2006/9/24,0.162191667,0.177014172,0.473125,1,2,0.665,0.228,0.107,1.48
2006/9/25,0.1459125,1.480798721,0.4884375,1,1.75,0.665,0.228,0.107,1.48
2006/9/26,0.137404167,0.283123851,0.50375,1,1.5,0.665,0.228,0.107,1.48
2006/9/27,0.136854167,0.159502029,0.5190625,1,1.175,0.665,0.228,0.107,1.48
2006/9/28,0.137829167,0.743388534,0.534375,1,0.85,0.665,0.228,0.107,1.48
2006/9/29,0.140825,0.30236572,0.5496875,1,0.525,0.665,0.228,0.107,1.48
2006/9/30,0.153241667,0.414480269,0.565,1,0.2,0.665,0.228,0.107,1.48
2006/10/1,0.179016667,1.058939811,0.55265625,1,0.75,0.665,0.228,0.107,1.48
2006/10/2,0.1712625,0.85331291,0.5403125,1,1.3,0.665,0.228,0.107,1.48
2006/10/3,0.1556375,0.136506557,0.52796875,1,1.85,0.665,0.228,0.107,1.48
2006/10/4,0.142620833,1.687984168,0.515625,1,2.4,0.665,0.228,0.107,1.48
2006/10/5,0.126925,0.146389111,0.50328125,1,2.45,0.665,0.228,0.107,1.48
2006/10/6,0.116008333,1.046953485,0.4909375,1,2.5,0.665,0.228,0.107,1.48
2006/10/7,0.106304167,0.486185849,0.47859375,1,2.55,0.665,0.228,0.107,1.48
2006/10/8,0.167545833,1.650408804,0.46625,1,2.6,0.665,0.228,0.107,1.48
2006/10/9,0.162308333,0.294307172,0.45890625,1,2.4,0.665,0.228,0.107,1.48
2006/10/10,0.147429167,1.010901034,0.4515625,1,2.2,0.665,0.228,0.107,1.48
2006/10/11,0.152854167,0.850090455,0.44421875,1,2,0.665,0.228,0.107,1.48
2006/10/12,0.177325,0.003324449,0.436875,1,1.8,0.665,0.228,0.107,1.48
2006/10/13,0.174533333,0.590543747,0.42953125,1,1.85,0.665,0.228,0.107,1.48
2006/10/14,0.15155,0.620251105,0.4221875,1,1.9,0.665,0.228,0.107,1.48
2006/10/15,0.135525,0.01120398,0.41484375,1,1.95,0.665,0.228,0.107,1.48
2006/10/16,0.123008333,0.082879663,0.4075,1,2,0.665,0.228,0.107,1.48
2006/10/17,0.110291667,0.089816641,0.430625,1,1.775,0.665,0.228,0.107,1.48
2006/10/18,0.125783333,1.65784806,0.45375,1,1.55,0.665,0.228,0.107,1.48
2006/10/19,0.1823625,0.570795834,0.476875,1,1.325,0.665,0.228,0.107,1.48
2006/10/20,0.155008333,0.038052831,0.5,1,1.1,0.665,0.228,0.107,1.48
2006/10/21,0.1358625,0.001460832,0.523125,1,1.325,0.665,0.228,0.107,1.48
2006/10/22,0.122108333,0.057883859,0.54625,1,1.55,0.665,0.228,0.107,1.48
2006/10/23,0.121870833,1.408990026,0.569375,1,1.775,0.665,0.228,0.107,1.48
2006/10/24,0.1333375,0.038029551,0.5925,1,2,0.665,0.228,0.107,1.48
2006/10/25,0.118429167,0.75587213,0.6015625,1,1.925,0.665,0.228,0.107,1.48
2006/10/26,0.1024125,0.144945979,0.610625,1,1.85,0.665,0.228,0.107,1.48
2006/10/27,0.0916125,0.016753972,0.6196875,1,1.775,0.665,0.228,0.107,1.48
2006/10/28,0.08215,0.056155324,0.62875,1,1.7,0.665,0.228,0.107,1.48
